City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
rock sound,90,CA,1612471859,85,63.7506,-68.5145,12.2,21.85
rock sound,1,GL,1612471658,35,69.2167,-51.1,-0.4,9.22
rock sound,0,IN,1612471859,44,16.3833,75.1167,65.14,2.17
rock sound,99,TM,1612471859,48,39.2446,55.5154,50.76,2.66
rock sound,75,ZA,1612471859,83,-33.918,25.5701,69.8,8.05
rock sound,100,US,1612471859,57,33.6671,-93.5916,66.99,10.0
rock sound,90,ID,1612471751,80,-0.8667,134.0833,77.79,6.29
rock sound,40,ID,1612471859,94,-8.19,114.9675,77.0,3.44
rock sound,1,US,1612471616,39,36.6777,-121.6555,60.8,4.61
rock sound,90,ID,1612471860,100,-3.3244,114.591,73.4,2.3
rock sound,90,PE,1612471619,65,-11.0964,-77.6139,75.29,8.63
rock sound,27,BW,1612471860,76,-20.1833,25.2333,74.8,7.36
rock sound,100,RU,1612471587,87,64.3833,-173.3,-9.65,27.85
rock sound,40,PT,1612471860,62,38.5167,-28.7,55.4,5.75
rock sound,100,ML,1612471860,13,14.0,-7.75,79.07,7.87
rock sound,19,BR,1612471860,31,-9.1175,-37.7322,86.29,6.35
rock sound,100,RU,1612471672,91,73.5069,80.5464,-7.11,10.33
rock sound,0,BR,1612471860,58,-5.1989,-35.4608,84.2,14.97
rock sound,90,CA,1612471860,100,54.3161,-130.3201,41.0,5.75
rock sound,0,IR,1612471861,19,32.8663,59.2211,28.4,6.91
rock sound,75,US,1612471861,78,19.7297,-155.09,73.4,11.5
rock sound,53,UY,1612471861,66,-33.6971,-53.4616,69.17,16.37
rock sound,100,ID,1612471609,86,-3.8004,102.2655,75.43,5.46
rock sound,100,CA,1612471861,65,55.1001,-105.2842,-2.2,4.61
rock sound,0,BR,1612471861,61,-21.6403,-41.0511,84.2,25.32
rock sound,100,RU,1612471861,99,57.2471,58.7298,31.89,5.82
rock sound,40,US,1612471615,72,22.0752,-159.319,68.0,4.61
rock sound,0,CN,1612471861,93,24.1877,102.817,45.39,3.02
rock sound,31,ML,1612471731,16,22.6783,-3.9836,76.73,9.17
rock sound,93,ZA,1612471861,78,-33.0153,27.9116,73.24,6.82
rock sound,68,ML,1612471861,14,20.0,-3.0,75.74,7.02
rock sound,99,BR,1612471862,76,-2.9248,-39.9167,80.29,13.94
rock sound,40,US,1612471862,47,39.5994,-110.8107,33.8,11.5
rock sound,90,PG,1612471862,98,-4.0625,144.0661,73.83,1.9
rock sound,100,RU,1612471862,92,63.05,179.3167,-0.51,13.33
rock sound,0,IS,1612471862,74,66.0449,-17.3389,23.0,4.61
rock sound,1,US,1612471862,50,36.6177,-121.9166,57.99,8.05
rock sound,0,NE,1612471862,29,13.3154,12.6113,70.47,10.98
rock sound,100,VU,1612471862,79,-13.8833,167.55,81.28,14.92
rock sound,0,SO,1612471862,79,5.3505,48.5268,76.44,15.82
rock sound,75,CA,1612471863,76,70.4692,-68.5914,-20.2,12.66
rock sound,75,WS,1612471863,94,-13.8745,-171.5986,78.8,3.44
rock sound,90,NU,1612471643,94,-19.0595,-169.9187,77.0,10.36
rock sound,68,BR,1612471863,67,-4.8828,-66.8958,88.5,2.57
rock sound,1,US,1612471665,53,29.4241,-98.4936,80.01,3.44
rock sound,13,ZA,1612471863,74,-34.4187,19.2345,69.01,1.99
rock sound,90,AU,1612471863,82,-33.8667,121.9,55.4,2.3
rock sound,59,MG,1612471863,93,-13.2,49.05,75.02,1.41
rock sound,0,KR,1612471636,74,37.5683,126.9778,23.0,8.05
rock sound,31,BR,1612471863,73,-8.2011,-35.5647,75.38,11.95
rock sound,2,BR,1612471863,75,-8.8978,-35.1478,80.08,10.96
rock sound,69,NA,1612471863,83,-22.116,14.2845,66.0,1.99
rock sound,64,ID,1612471864,87,4.1363,96.1285,76.44,5.23
rock sound,19,GL,1612471864,74,66.9395,-53.6735,3.65,15.23
rock sound,74,BR,1612471864,80,-0.6136,-47.3561,81.16,11.07
rock sound,100,TH,1612471864,88,9.9658,98.6348,74.73,3.36
rock sound,90,SJ,1612471864,63,78.2186,15.6401,19.4,11.5
rock sound,73,AU,1612471864,89,-35.7167,150.1833,72.0,7.0
rock sound,1,RU,1612471864,83,43.7444,135.2892,-4.4,5.17
rock sound,100,MV,1612471864,76,-0.6,73.0833,82.22,10.36
rock sound,99,PT,1612471864,68,32.6667,-17.1,48.99,3.0
rock sound,0,CL,1612471864,41,-41.8697,-73.8203,79.0,12.66
rock sound,99,AU,1612471864,88,-38.2667,141.9667,58.62,21.97
rock sound,0,US,1612471864,25,32.5056,-110.9211,71.01,5.01
rock sound,100,RU,1612471865,97,56.7084,58.0517,33.71,6.04
rock sound,74,RU,1612471625,92,60.4667,166.1,-7.08,12.8
rock sound,100,GB,1612471865,94,55.756,-4.8556,39.0,3.0
rock sound,100,PT,1612471865,88,38.7992,-9.4469,55.0,5.23
rock sound,1,CA,1612471660,55,49.7834,-74.8492,32.0,4.61
rock sound,40,CA,1612471865,67,69.4541,-133.0374,-34.6,10.36
rock sound,0,PK,1612471865,34,27.8477,67.9055,57.54,2.42
rock sound,100,CA,1612471838,64,43.7501,-81.7165,32.0,13.8
rock sound,90,AU,1612471866,100,-37.8333,140.7667,50.0,10.36
rock sound,0,SO,1612471866,33,3.8093,43.2471,76.24,9.8
rock sound,90,CL,1612471866,46,-22.092,-70.1979,73.36,5.39
rock sound,20,AR,1612471806,56,-38.0023,-57.5575,69.8,16.11
rock sound,0,UY,1612471866,48,-32.6833,-57.6333,80.01,3.0
rock sound,1,PT,1612471866,73,39.05,-27.9833,55.29,23.78
rock sound,75,TO,1612471866,94,-21.2,-175.2,80.6,9.22
rock sound,1,JP,1612471866,70,34.6667,138.95,34.0,1.01
rock sound,20,GL,1612471656,49,60.9167,-46.05,17.6,1.14
rock sound,0,AU,1612471866,78,-32.5833,151.7833,73.99,9.22
rock sound,0,AU,1612471866,78,-32.7167,152.15,73.99,9.22
rock sound,40,CL,1612471866,72,-29.9533,-71.3436,66.2,13.8
rock sound,0,PK,1612471867,44,27.7384,66.6434,48.33,5.3
rock sound,1,US,1612471867,24,34.5334,-82.6499,51.8,9.22
rock sound,5,MM,1612471867,60,14.0833,98.2,71.2,3.13
rock sound,11,PG,1612471867,78,-10.6167,150.6667,80.69,4.54
rock sound,46,RU,1612471867,87,66.8333,70.8333,-21.55,6.26
rock sound,51,PG,1612471867,76,-2.5744,150.7967,82.89,8.14
rock sound,75,DK,1612471867,86,55.1009,14.7066,28.4,3.44
rock sound,40,TZ,1612471867,68,-5.8833,35.2333,73.4,6.91
rock sound,100,ID,1612471867,84,0.1333,117.5,78.03,1.7
rock sound,0,IN,1612471867,58,22.75,73.15,59.0,7.27
rock sound,0,MM,1612471868,49,17.95,96.7333,66.67,3.49
rock sound,100,GL,1612471868,83,60.1432,-45.2371,22.87,5.35
rock sound,20,MG,1612471868,78,-25.0333,46.3833,82.4,21.85
rock sound,17,MU,1612471868,76,-20.0064,57.6608,79.0,5.01
rock sound,90,CV,1612471651,73,14.9215,-23.5087,69.8,20.71
rock sound,20,RU,1612471868,85,59.7035,30.7861,10.0,6.71
rock sound,68,RU,1612471868,80,56.8,124.8,-33.18,0.58
rock sound,100,RU,1612471868,97,56.6536,66.3006,17.56,8.86
rock sound,78,MN,1612471868,80,48.0056,91.6419,19.02,8.34
rock sound,40,HT,1612471868,59,19.45,-72.6833,81.39,6.26
rock sound,40,ID,1612471690,88,-0.9492,100.3543,77.0,1.14
